Scenario - EJ_RSBC_5go1st_cond(50)tra(75%)												
Logfile written - 04/15/2021 18:46:22												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
210415_RL#219_15g	73	Sound	212	917253	4	2			0		other	0
210415_RL#219_15g	74	Picture	555	922314	0	2	10129	4	0	next	other	0
210415_RL#219_15g	75	Picture	10	932443	0	2	20127	4	0	next	miss	0
210415_RL#219_15g	76	Picture	411	952569	0	2	400	3	0	next	other	0
210415_RL#219_15g	77	Picture	666	952969	0	2	20126	3	0	next	other	0
210415_RL#219_15g	78	Picture	777	973095	0	2	20125	4	0	next	other	0
210415_RL#219_15g	78	Manual	1	993106	20011	NA						
210415_RL#219_15g	79	Sound	211	993224	4	2			0		other	0
210415_RL#219_15g	79	Port Input	1	997986	4766	3						
210415_RL#219_15g	79	Response	1	997986	4766	3						
